Tub #,Date,Salinity ppt,Comments
5,2012-09-09 00:00:00,31.8,
6,2012-09-09 00:00:00,31.9,
1,2012-09-10 00:00:00,31.7,
2,2012-09-10 00:00:00,31.8,
3,2012-09-10 00:00:00,31.8,
4,2012-09-10 00:00:00,31.9,
5,2012-09-10 00:00:00,31.8,
6,2012-09-10 00:00:00,31.7,
1,2012-09-11 00:00:00,31.6,
2,2012-09-11 00:00:00,31.8,
3,2012-09-11 00:00:00,31.8,
4,2012-09-11 00:00:00,31.7,
5,2012-09-11 00:00:00,31.7,
6,2012-09-11 00:00:00,31.9,
1,2012-09-12 00:00:00,31.7,
2,2012-09-12 00:00:00,31.8,
3,2012-09-12 00:00:00,31.9,
4,2012-09-12 00:00:00,31.7,
5,2012-09-12 00:00:00,31.8,
6,2012-09-12 00:00:00,31.7,
1,2012-09-13 00:00:00,31.7,
2,2012-09-13 00:00:00,31.6,
3,2012-09-13 00:00:00,31.8,
4,2012-09-13 00:00:00,31.6,
5,2012-09-13 00:00:00,31.6,
6,2012-09-13 00:00:00,31.9,
1,2012-09-14 00:00:00,31.2,
2,2012-09-14 00:00:00,31.6,
3,2012-09-14 00:00:00,31.8,
4,2012-09-14 00:00:00,31.6,
5,2012-09-14 00:00:00,31.8,
6,2012-09-14 00:00:00,31.8,
1,2012-09-15 00:00:00,31.7,
2,2012-09-15 00:00:00,31.8,
3,2012-09-15 00:00:00,31.8,
4,2012-09-15 00:00:00,31.7,
5,2012-09-15 00:00:00,31.5,
6,2012-09-15 00:00:00,31.7,
1,2012-09-16 00:00:00,31.3,
2,2012-09-16 00:00:00,31.5,
3,2012-09-16 00:00:00,31.5,
4,2012-09-16 00:00:00,31.3,
5,2012-09-16 00:00:00,32.1,
6,2012-09-16 00:00:00,31.4,
1,2012-09-17 00:00:00,31.4,
2,2012-09-17 00:00:00,31.7,
3,2012-09-17 00:00:00,31.7,
4,2012-09-17 00:00:00,31.6,
5,2012-09-17 00:00:00,31.5,
6,2012-09-17 00:00:00,31.7,
1,2012-09-18 00:00:00,31.4,
2,2012-09-18 00:00:00,31.8,
3,2012-09-18 00:00:00,31.5,
4,2012-09-18 00:00:00,31.6,
5,2012-09-18 00:00:00,31.4,
6,2012-09-18 00:00:00,31.7,
1,2012-09-19 00:00:00,31.3,
2,2012-09-19 00:00:00,31.3,
3,2012-09-19 00:00:00,31.5,
4,2012-09-19 00:00:00,31.3,
5,2012-09-19 00:00:00,31.3,
6,2012-09-19 00:00:00,31.5,
1,2012-09-20 00:00:00,31.4,
2,2012-09-20 00:00:00,31.5,
3,2012-09-20 00:00:00,31.5,
4,2012-09-20 00:00:00,31.5,
5,2012-09-20 00:00:00,31.6,
6,2012-09-20 00:00:00,31.4,
1,2012-09-21 00:00:00,31.5,
2,2012-09-21 00:00:00,31.6,
3,2012-09-21 00:00:00,31.6,
4,2012-09-21 00:00:00,31.4,
5,2012-09-21 00:00:00,31.6,
6,2012-09-21 00:00:00,30.9,
1,2012-09-22 00:00:00,31.2,
2,2012-09-22 00:00:00,31.6,
3,2012-09-22 00:00:00,31.1,
4,2012-09-22 00:00:00,31.6,
5,2012-09-22 00:00:00,31.7,
6,2012-09-22 00:00:00,31.6,
1,2012-09-23 00:00:00,31.6,
2,2012-09-23 00:00:00,31.6,
3,2012-09-23 00:00:00,31.1,
4,2012-09-23 00:00:00,31.1,
5,2012-09-23 00:00:00,31,
6,2012-09-23 00:00:00,31.5,
1,2012-09-24 00:00:00,31.6,
2,2012-09-24 00:00:00,31.8,
3,2012-09-24 00:00:00,31.6,
4,2012-09-24 00:00:00,31.7,
5,2012-09-24 00:00:00,31.8,
6,2012-09-24 00:00:00,31.6,
1,2012-09-25 00:00:00,31.4,
2,2012-09-25 00:00:00,31.4,
3,2012-09-25 00:00:00,31.5,
4,2012-09-25 00:00:00,31.6,
5,2012-09-25 00:00:00,31.6,
6,2012-09-25 00:00:00,31.3,
1,2012-09-26 00:00:00,31.4,
2,2012-09-26 00:00:00,31.5,
3,2012-09-26 00:00:00,31.5,
4,2012-09-26 00:00:00,31.5,
5,2012-09-26 00:00:00,31.6,
6,2012-09-26 00:00:00,31.4,
1,2012-09-27 00:00:00,31.2,
2,2012-09-27 00:00:00,31.4,
3,2012-09-27 00:00:00,31.3,
4,2012-09-27 00:00:00,31.2,
5,2012-09-27 00:00:00,31.2,
6,2012-09-27 00:00:00,31.3,
1,2012-09-28 00:00:00,31.1,
2,2012-09-28 00:00:00,31.3,
3,2012-09-28 00:00:00,31.4,
4,2012-09-28 00:00:00,31.3,
5,2012-09-28 00:00:00,31.5,
6,2012-09-28 00:00:00,31.4,
1,2012-09-29 00:00:00,31.3,
2,2012-09-29 00:00:00,31.7,
3,2012-09-29 00:00:00,31.7,
4,2012-09-29 00:00:00,31.5,
5,2012-09-29 00:00:00,31.6,
6,2012-09-29 00:00:00,31.5,
1,2012-09-30 00:00:00,31.2,
2,2012-09-30 00:00:00,31.6,
3,2012-09-30 00:00:00,31.5,
4,2012-09-30 00:00:00,31.2,
5,2012-09-30 00:00:00,31.4,
6,2012-09-30 00:00:00,31.5,
1,2012-10-01 00:00:00,31.4,
2,2012-10-01 00:00:00,31.7,
3,2012-10-01 00:00:00,31.5,
4,2012-10-01 00:00:00,31.6,
5,2012-10-01 00:00:00,31.6,
6,2012-10-01 00:00:00,31.3,
1,2012-10-02 00:00:00,31.2,
2,2012-10-02 00:00:00,31.3,
3,2012-10-02 00:00:00,31.3,
4,2012-10-02 00:00:00,31.3,
5,2012-10-02 00:00:00,31.3,
6,2012-10-02 00:00:00,31.5,
1,2012-10-03 00:00:00,31.3,
2,2012-10-03 00:00:00,31.3,
3,2012-10-03 00:00:00,31.4,
4,2012-10-03 00:00:00,31.4,
5,2012-10-03 00:00:00,31.4,
6,2012-10-03 00:00:00,31.2,
1,2012-10-04 00:00:00,30.9,
2,2012-10-04 00:00:00,31.5,
3,2012-10-04 00:00:00,31.2,
4,2012-10-04 00:00:00,31.4,
5,2012-10-04 00:00:00,31.4,
6,2012-10-04 00:00:00,31.6,
1,2012-10-05 00:00:00,31.3,
2,2012-10-05 00:00:00,31.4,
3,2012-10-05 00:00:00,31.4,
4,2012-10-05 00:00:00,31.6,
5,2012-10-05 00:00:00,31.4,
6,2012-10-05 00:00:00,31.1,
1,2012-10-06 00:00:00,31.6,
2,2012-10-06 00:00:00,31.9,
3,2012-10-06 00:00:00,31.7,
4,2012-10-06 00:00:00,31.5,
5,2012-10-06 00:00:00,31.4,
6,2012-10-06 00:00:00,31.6,
1,2012-10-07 00:00:00,31.4,
2,2012-10-07 00:00:00,31.7,
3,2012-10-07 00:00:00,31.6,
4,2012-10-07 00:00:00,31.5,
5,2012-10-07 00:00:00,31.6,
6,2012-10-07 00:00:00,31.7,
1,2012-10-08 00:00:00,31.1,
2,2012-10-08 00:00:00,31.8,
3,2012-10-08 00:00:00,31.6,
4,2012-10-08 00:00:00,31.5,
5,2012-10-08 00:00:00,31.6,
6,2012-10-08 00:00:00,31.7,
1,2012-10-09 00:00:00,31.6,
2,2012-10-09 00:00:00,31.8,
3,2012-10-09 00:00:00,31.6,
4,2012-10-09 00:00:00,31.6,
5,2012-10-09 00:00:00,31.6,
6,2012-10-09 00:00:00,31,
1,2012-10-10 00:00:00,32,
2,2012-10-10 00:00:00,31.9,
3,2012-10-10 00:00:00,31.7,
4,2012-10-10 00:00:00,31.7,
5,2012-10-10 00:00:00,31.8,
